Name,BACE1,BACE2,BE Ratio
CMPD2656,-11.202,-4.539,2.467944481163252
CMPD1753,-11.881,-5.185,2.291417550626808
CMPD2003,-11.964,-6.209,1.9268803349975845
CMPD435,-11.554,-7.657,1.5089460624265378
CMPD2519,-12.572,-9.299,1.3519733304656414
CMPD1503,-11.624,-8.799,1.3210592112740085
CMPD4169,-12.544,-10.316,1.215975184179915
CMPD1719,-12.133,-10.139,1.1966663379031464
CMPD1134,-13.62,-12.262,1.1107486543793834
CMPD1764,-11.349,-10.275,1.1045255474452556
CMPD2243,-11.922,-11.305,1.054577620521893
CMPD2935,-12.851,-12.305,1.0443722064201546
CMPD1939,-11.142,-10.814,1.0303310523395597
CMPD2780,-11.078,-10.753,1.0302241235004184
CMPD1284,-12.419,-12.121,1.0245854302450292
CMPD1862,-11.138,-10.962,1.0160554643313264
CMPD3118,-13.036,-12.954,1.0063300910915547
CMPD4232,-13.15,-13.082,1.005197981959945
CMPD322,-11.022,-11.092,0.9936891453299675
CMPD2618,-11.204,-11.304,0.9911535739561218
CMPD4604,-11.389,-11.576,0.9838458880442292
CMPD781,-11.3,-11.511,0.9816697072365564
CMPD110,-11.385,-11.609,0.980704625721423
CMPD4752,-10.99,-11.207,0.980637101811368
CMPD4778,-11.875,-12.156,0.9768838433695294
CMPD956,-11.384,-11.669,0.9755763133087668
CMPD2802,-12.44,-12.795,0.972254787026182
CMPD2879,-11.578,-11.913,0.9718794594140854
CMPD2791,-11.043,-11.394,0.9691943127962084
CMPD2431,-11.223,-11.601,0.9674166020170676
CMPD1180,-11.241,-11.66,0.964065180102916
CMPD4156,-11.717,-12.243,0.957036674017806
CMPD4289,-11.923,-12.46,0.9569020866773676
CMPD482,-13.7,-14.365,0.9537069265576053
CMPD4514,-11.536,-12.153,0.9492306426396774
CMPD3358,-11.957,-12.598,0.949118907763137
CMPD3258,-11.302,-11.925,0.9477568134171906
CMPD2613,-11.441,-12.087,0.9465541490857948
CMPD907,-11.451,-12.101,0.9462854309561192
CMPD339,-12.423,-13.159,0.9440686982293488
CMPD2161,-11.309,-11.987,0.943438725285726
CMPD2236,-12.919,-13.723,0.941412227647016
CMPD4642,-11.062,-11.759,0.9407262522323326
CMPD344,-13.579,-14.478,0.937905788092278
CMPD3560,-13.221,-14.111,0.936928637233364
CMPD3378,-11.021,-11.78,0.9355687606112056
CMPD3151,-12.265,-13.149,0.9327705528937564
CMPD4689,-11.083,-11.911,0.9304844261606918
CMPD4338,-11.744,-12.623,0.9303652063693258
CMPD312,-12.034,-12.955,0.9289077576225396
CMPD4235,-11.179,-12.04,0.9284883720930234
CMPD4182,-12.291,-13.241,0.9282531530851144
CMPD4261,-11.923,-12.85,0.9278599221789884
CMPD226,-12.406,-13.379,0.9272740862545782
CMPD4159,-11.169,-12.05,0.9268879668049792
CMPD3305,-12.407,-13.416,0.9247912939773404
CMPD1394,-11.263,-12.188,0.924105677715786
CMPD855,-11.338,-12.271,0.9239670768478524
CMPD3447,-11.263,-12.209,0.9225161765910396
CMPD3739,-11.55,-12.544,0.9207589285714286
CMPD545,-11.405,-12.387,0.920723338984419
CMPD1150,-11.288,-12.27,0.9199674001629992
CMPD1660,-11.669,-12.692,0.9193980460132368
CMPD1393,-11.587,-12.607,0.9190925676211628
CMPD4831,-11.464,-12.478,0.9187369770796604
CMPD2456,-11.875,-12.939,0.9177679882525698
CMPD2081,-11.028,-12.027,0.9169368919930158
CMPD668,-11.272,-12.298,0.9165718002927306
CMPD3609,-13.2,-14.407,0.9162212813215798
CMPD2816,-11.199,-12.236,0.9152500817260542
CMPD597,-11.1,-12.131,0.9150111285137252
CMPD1514,-11.527,-12.602,0.9146960799873036
CMPD4453,-11.302,-12.36,0.914401294498382
CMPD1473,-13.009,-14.232,0.9140668915120856
CMPD707,-12.464,-13.642,0.913649025069638
CMPD4365,-11.932,-13.065,0.9132797550708
CMPD1266,-11.119,-12.179,0.9129649396502176
CMPD1434,-11.891,-13.031,0.9125163072672856
CMPD1000,-11.361,-12.472,0.9109204618345094
CMPD3379,-11.572,-12.704,0.9108942065491182
CMPD1616,-11.226,-12.327,0.910683864687272
CMPD4203,-12.903,-14.17,0.9105857445306988
CMPD1128,-12.804,-14.062,0.9105390413881383
CMPD4857,-11.82,-12.987,0.91014091014091
CMPD3807,-11.109,-12.219,0.909157868892708
CMPD2548,-11.318,-12.449,0.9091493292633946
CMPD2606,-13.485,-14.837,0.9088764575048864
CMPD4404,-11.282,-12.418,0.9085198904815592
CMPD947,-12.294,-13.532,0.9085131540053208
CMPD1375,-13.264,-14.602,0.9083687166141624
CMPD429,-11.918,-13.133,0.9074849615472474
CMPD3790,-11.06,-12.192,0.9071522309711286
CMPD3429,-13.274,-14.633,0.9071277250051254
CMPD1921,-13.244,-14.611,0.9064403531585792
CMPD4177,-11.143,-12.298,0.90608228980322
CMPD1935,-11.571,-12.774,0.9058243306716768
CMPD292,-11.373,-12.556,0.9057820962089838
CMPD960,-11.298,-12.474,0.9057239057239056
CMPD3754,-12.691,-14.017,0.9054005850039238
CMPD1079,-11.665,-12.884,0.905386525923626
CMPD3716,-11.069,-12.228,0.9052175335296044
CMPD2189,-11.83,-13.08,0.904434250764526
CMPD4842,-12.709,-14.053,0.9043620579235748
CMPD3115,-12.604,-13.94,0.9041606886657102
CMPD87,-11.27,-12.468,0.9039140198909208
CMPD3742,-11.107,-12.288,0.9038899739583331
CMPD1742,-11.517,-12.742,0.9038612462721708
CMPD2880,-11.234,-12.445,0.902691844114102
CMPD4966,-11.533,-12.778,0.9025669118797932
CMPD2907,-12.142,-13.455,0.902415458937198
CMPD4287,-11.385,-12.619,0.9022109517394404
CMPD1357,-13.546,-15.015,0.902164502164502
CMPD2142,-11.621,-12.885,0.9019014357780364
CMPD1857,-11.061,-12.276,0.9010263929618768
CMPD2475,-11.525,-12.801,0.9003202874775408
CMPD659,-12.821,-14.246,0.8999719219430015
CMPD1450,-12.339,-13.712,0.8998687281213537
CMPD181,-11.589,-12.884,0.8994877367277243
CMPD1409,-11.299,-12.565,0.8992439315559093
CMPD1403,-11.129,-12.378,0.899095168847956
CMPD2378,-11.396,-12.676,0.8990217734301041
CMPD1096,-12.158,-13.524,0.89899438036084
CMPD4736,-11.535,-12.841,0.8982945253484932
CMPD99,-11.781,-13.121,0.8978736376800549
CMPD1520,-11.43,-12.731,0.8978084989395962
CMPD4817,-11.682,-13.013,0.8977176669484362
CMPD4746,-11.42,-12.722,0.8976576010061311
CMPD2050,-12.712,-14.163,0.8975499541057685
CMPD3409,-12.056,-13.434,0.897424445436951
CMPD4573,-11.603,-12.935,0.8970235794356397
CMPD3785,-11.821,-13.179,0.8969572805220426
CMPD2066,-11.119,-12.397,0.8969105428732758
CMPD2961,-11.843,-13.206,0.8967893381796154
CMPD2365,-12.348,-13.77,0.8967320261437909
CMPD2436,-12.113,-13.509,0.8966614849359685
CMPD3291,-11.821,-13.188,0.8963451622687291
