Name,canonical_smiles,selfies,BACE1,BACE2,BE Ratio
GA2656,C=NC12NCCN1C1=NC3(O)C(=NOC(C)(C)C=C2C=CC(=O)N2C=CCCN(C(=O)C(F)CC)C1C2)c1ccc2c(c1)=NC3CC=CN=2,[C][=N][C][N][C][C][N][Ring1][Branch1][C][=N][C][Branch2][Ring1][C][C][C][C][=C][N][=C][C][=C][C][=Branch1][N][=C][C][Ring1][=Branch1][=N][Ring1][N][O][C][=O][=C][Branch1][C][O][C][Ring1][=Branch1][=N][/O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring2][Ring1][=N][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][Branch2][=C][C][C][N][Branch1][N][C][=Branch1][C][=O][C][Branch1][C][F][C][C][Ring1][#Branch1][C][Ring1][=N][Ring2][Ring2][#Branch2],-11.202,-4.539,2.467944481163252
GA1753,NC1C2=C3C(=NC=NCCCC4C(=C(Cl)C3C(O)[C@H]4CON3C=N3)C(=O)OCc3cccc4c3C[C]CC41)N=CCNC(=O)OC2,[C][=N][N][Ring1][Branch1][O][C][C@H1][Branch1][Ring1][C][O][C][C][C][C][N][=C][N][=C][N][=C][C][N][C][=Branch1][C][=O][O][C][C][Ring1][O][=C][Ring1][O][C][Ring2][Ring1][Branch1][C][Branch1][C][Cl][=C][Ring2][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@][Ring1][#Branch2][C][C][Ring1][=Branch1][C][Ring2][Ring1][Branch1][Ring1][P][N],-11.881,-5.185,2.291417550626808
GA2003,N#CN1C=C2C=NC3=NC(CCC(=C(Br)C=Cn4cnnn4)C4(C=CC5=NC(=CC(N)=C4)NC5=O)OC(=O)N3C(=O)O2)O1,[C][=N][N][=N][=N][Ring1][Branch1][C][=C][C][Branch1][C][Br][=C][C][C][C][N][=C][N][=C][C][=Branch1][N][=C][N][Branch1][Ring1][C][#N][O][Ring1][O][=O][C][O][C][=Branch1][C][=O][N][Ring1][=N][C][=Branch1][C][=O][O][C][Ring2][Ring1][=Branch1][C][=C][C][=Branch1][N][=N][C][=C][C][Branch1][C][N][=C][Ring1][#Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][N][Ring1][Branch2],-11.964,-6.209,1.9268803349975845
GA435,CC1=CC(C2CCN(C)CC2)=CC2N=C=NOC=NCNN=C3C=C4C(Cl)=C5OC(=CC=NNC=NC5CCC14)COC32,[C][=N][O][C][=N][C][N][N][=C][C][=C][C][Branch2][Branch1][Ring1][C][C][C][N][=C][NH1][N][=C][C][=C][Branch1][#Branch1][C][Ring1][=Branch1][O][C][Ring1][P][O][C][Ring1][=N][=C][Ring2][Ring1][C][Cl][C][Branch1][C][C][=N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][#Branch2][C][=C][C][Branch1][C][C][=C][C][Branch1][N][C][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][=C][Ring1][=N][C][Ring2][Ring1][C][N][=Ring2][Ring2][P][Ring2][Ring2][N],-11.554,-7.657,1.5089460624265378
GA2519,O=C1NCCN(C2CCc3cc(Cl)ccc32)C2=NC=NC(O)NC2NCCC(N2C=CC=CN3C(=O)C=CC32)c2ccccc21,[C][=N][C][=N][C][Branch1][C][O][NH1][C][Ring1][Branch2][N][C][C][C][Branch2][Ring1][=C][N][C][=C][C][=C][N][C][=Branch1][C][=O][C][=C][C][Ring1][O][=Ring1][=Branch1][O][C][Ring1][O][=O][Branch1][Branch1][C][Ring2][Ring1][=Branch2][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][Ring1][C][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Ring1][#Branch2][C][C][Ring2][Branch1][Ring2][Branch1][=Branch1],-12.572,-9.299,1.3519733304656414
GA1503,O=C1C=CN=CC2C(=CNn3cnnn3)C=C2CN2CN=CN=C3N=CN(N3)C3([C]C2N(C2CC2)C(=O)C=N1)OCOC3=CCl,[C][=N][N][=N][=N][Ring1][Branch1][N][C][=C][C][=C][Branch2][Ring1][S][C][N][C][N][=C][N][=C][N][=C][N][Branch1][Ring2][N][Ring1][Branch1][C][O][C][O][C][Ring1][Branch1][=C][Ring1][O][Cl][C][=Branch1][C][=O][O][C][Ring2][Ring1][=Branch1][C][=N][C][=C][C][=Branch1][C][=O][N][=C][C][=Branch1][C][=O][N][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][Ring2][Ring1][P][C@@][Ring1][N][Ring2][Ring1][Branch2][Ring1][#Branch1],-11.624,-8.799,1.3210592112740085
GA4169,CC(=O)COCC1=C(O)C(Cl)=NC(=O)N(NC(=O)c2cnncc2O)CC=CC=CCCCC1,[C][C][=Branch1][C][=O][Branch2][Branch1][C][O][C][C][Branch2][Ring1][Ring1][C][C][C][C][C][=C][C][=C][C][Branch1][P][N][N][C][=Branch1][C][=O][C][=C][N][=N][C][=C][Ring1][=Branch1][O][Ring1][Branch1][=C][Branch1][C][O][C][Branch1][C][Cl][=N][C][Ring1][P][=O][C][=C][Branch1][C][O][C][=C][C][Branch1][C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C@H1][Branch1][Ring1][C][O][N][C][Ring2][Ring2][#Branch2][Branch1][C][O][C][Ring2][Ring2][N][=O],-12.544,-10.316,1.215975184179915
GA1719,CC1C=CCC=CN=NON=C[C](O)[C@@H](OC(=O)n2ccnc2)N(c2c(Cl)ccoc2=O)C=NC=CN[CH]C1,[C][=N][O][=N][=N][C][=C][Ring1][Branch1][C][C][=C][C][Branch1][C][C][C][C@@H1][N][C][=C][N][=C][N][Branch2][Ring1][=N][C][=C][Branch1][C][Cl][C][=C][O][C][Ring1][#Branch1][=O][N][Ring1][O][C][=Branch1][C][=O][Branch1][C][Cl][C][Ring1][P][=O][N][C][C@H1][Branch1][N][O][C][=Branch1][C][=O][N][C][=C][N][=C][Ring1][Branch1][C@@][Ring2][Ring2][#Branch1][Ring1][N][O],-12.133,-10.139,1.1966663379031464
GA1134,O=C(Cn1cnnn1)NCCC1C[C@@H]2N=C3NN4CC(F)=C1OC2[CH]C[C]1C[C]2C=CC(=O)N1C(O2)C(=O)C3(Cl)OC4=O,[C][=N][N][=N][=N][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][C][C][C][C@@H1][N][=C][N][N][=Branch1][N][=C][C][Branch1][C][F][=C][Ring1][O][O][C][Ring1][O][C][=Branch1][C][=O][O][C][Ring1][=N][Branch1][C][Cl][C][=Branch1][C][=O][C][O][C@@][C][=C][C][=Branch1][C][=O][N][Ring1][Branch2][C@@][Ring1][N][Branch1][Branch2][C][C@@H1][Ring1][Branch1][Ring2][Ring1][Ring1][C][Ring1][#Branch2],-13.62,-12.262,1.1107486543793834
GA1764,COCCC1=C2NCC=CN=CON=CC3C[C@@H]2CCC2=C4C(=CON3NC1=O)OC1C=C(C=NN41)C2=O,[C][=N][O][C][=N][C][=C][Ring1][Branch1][C][NH1][C][Branch2][Branch1][C][C@H1][C][C][C][=C][N][N][=C][C][=Branch1][N][=C][C][=Ring1][=Branch1][O][C][Ring1][=Branch2][=C][Branch1][C][O][C][Ring1][=N][=O][C][Branch1][C][Cl][C][Ring1][=C][O][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][=C][N][C][=C][Branch1][#Branch1][C][C][O][C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][N][Ring1][N][=C][Ring2][Ring2][P][C][Ring2][Ring1][N],-11.349,-10.275,1.1045255474452556
