Name,BACE1,BACE2,BE Ratio
MOL1382,-12.42,-7.645,1.6245912361020276
MOL915,-13.816,-8.918,1.5492262839201616
MOL2356,-11.899,-7.895,1.5071564281190626
MOL3826,-12.843,-10.264,1.2512665627435695
MOL3558,-12.108,-10.158,1.1919669226225635
MOL4346,-11.938,-10.306,1.1583543566854262
MOL3071,-11.933,-10.513,1.1350708646437744
MOL1893,-11.796,-10.723,1.100065280238739
MOL1878,-13.111,-11.989,1.0935857869713903
MOL613,-12.769,-11.793,1.0827609598914611
MOL3097,-11.594,-10.762,1.077309050362386
MOL2415,-13.998,-13.031,1.074207658660118
MOL2700,-11.413,-10.642,1.072448787821838
MOL4842,-13.175,-12.343,1.0674066272381106
MOL1536,-11.434,-10.75,1.063627906976744
MOL994,-13.191,-12.861,1.025658968975974
MOL2675,-11.688,-11.414,1.0240056071491153
MOL2582,-13.324,-13.025,1.0229558541266794
MOL4908,-11.952,-11.767,1.0157219342228263
MOL616,-12.488,-12.327,1.013060760931289
MOL3469,-11.526,-11.392,1.0117626404494382
MOL1101,-12.008,-11.902,1.00890606620736
MOL995,-11.114,-11.074,1.0036120642947446
MOL372,-11.037,-11.016,1.0019063180827887
MOL3136,-12.552,-12.545,1.0005579912315663
MOL1003,-11.731,-11.748,0.9985529451821588
MOL2210,-10.985,-11.009,0.9978199654827868
MOL1051,-11.351,-11.422,0.9937839257573104
MOL437,-12.437,-12.573,0.9891831702855324
MOL4501,-11.87,-12.032,0.9865359042553192
MOL2489,-11.649,-11.855,0.9826233656684942
MOL774,-11.361,-11.617,0.9779633296031678
MOL2088,-11.693,-12.018,0.972957230820436
MOL3775,-12.246,-12.74,0.9612244897959183
MOL4332,-12.083,-12.571,0.9611804947895952
MOL2443,-11.263,-11.724,0.9606789491641078
MOL3712,-12.521,-13.05,0.959463601532567
MOL3318,-11.608,-12.127,0.957202935598252
MOL2051,-12.4,-12.972,0.9559050262102992
MOL1825,-11.13,-11.644,0.9558570937822056
MOL2064,-13.793,-14.461,0.9538067906783764
MOL4596,-12.551,-13.165,0.9533611849601216
MOL711,-11.679,-12.315,0.9483556638246042
MOL4021,-11.684,-12.322,0.9482226911215712
MOL3411,-11.045,-11.674,0.946119581977043
MOL119,-11.421,-12.1,0.9438842975206612
MOL2924,-12.796,-13.58,0.9422680412371134
MOL3059,-14.335,-15.276,0.9384001047394608
MOL4309,-11.952,-12.791,0.934407004925338
MOL408,-11.58,-12.421,0.9322920859834152
MOL4154,-12.965,-13.907,0.9322643273171785
MOL987,-12.34,-13.25,0.9313207547169812
MOL2036,-11.098,-11.927,0.9304938375115286
MOL3803,-11.918,-12.837,0.9284100646568512
MOL4103,-12.379,-13.334,0.9283785810709464
MOL3616,-11.155,-12.021,0.9279594043756758
MOL914,-14.131,-15.233,0.9276570603295476
MOL2153,-10.995,-11.855,0.9274567692956558
MOL3077,-11.31,-12.198,0.927201180521397
MOL4707,-11.428,-12.332,0.9266947778138176
MOL1365,-11.244,-12.163,0.9244429828167392
MOL3959,-15.275,-16.534,0.923853876859804
MOL3365,-11.719,-12.689,0.9235558357632596
MOL4897,-11.259,-12.197,0.9230958432401412
MOL4857,-11.028,-11.971,0.9212262968841368
MOL223,-11.047,-11.992,0.9211974649766512
MOL1363,-13.71,-14.912,0.9193937768240344
MOL2919,-11.925,-12.989,0.9180845330664408
MOL4226,-12.155,-13.269,0.9160449167231892
MOL2233,-12.757,-13.94,0.9151362984218078
MOL3233,-10.996,-12.019,0.9148847657875032
MOL897,-11.686,-12.787,0.9138969265660436
MOL4470,-11.217,-12.276,0.9137341153470186
MOL4838,-13.497,-14.783,0.9130081850774538
MOL4636,-11.129,-12.193,0.91273681620602
MOL2057,-11.133,-12.228,0.91045142296369
MOL3003,-12.545,-13.786,0.909981140287248
MOL620,-13.46,-14.798,0.9095823759967564
MOL3603,-12.288,-13.513,0.9093465551690963
MOL258,-12.668,-13.934,0.9091431032008038
MOL2077,-12.038,-13.254,0.908254111966199
MOL3023,-12.201,-13.439,0.9078800505990028
MOL3983,-13.723,-15.123,0.9074257753091318
MOL4169,-11.734,-12.935,0.9071511403169694
MOL97,-11.199,-12.358,0.9062145978313644
MOL2501,-12.419,-13.717,0.9053728949478748
MOL2085,-11.266,-12.448,0.9050449871465296
MOL4442,-13.275,-14.681,0.904229957087392
MOL4977,-11.627,-12.864,0.9038401741293532
MOL1038,-12.298,-13.616,0.9032021151586368
MOL4098,-11.17,-12.382,0.902115974802132
MOL2746,-11.701,-12.974,0.9018806844458148
MOL4875,-11.613,-12.881,0.9015604378542038
MOL4005,-11.783,-13.072,0.9013922888616892
MOL1090,-11.971,-13.316,0.8989936917993391
MOL2591,-12.431,-13.835,0.898518250813155
MOL486,-11.574,-12.89,0.8979053529868114
MOL2394,-13.565,-15.12,0.8971560846560847
MOL2546,-13.292,-14.826,0.8965331174962903
MOL2030,-13.39,-14.936,0.8964916979110873
