canonical_smiles,selfies,logBB
COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,[C][O][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Branch1][O][C][S][C][=N][N][=N][N][Ring1][Branch1][C][C][O][C][Ring1][P][Ring2][Ring2][C],-2.52
CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,[C][N][C][C][C@][C][=C][C][=C][C][Branch2][Ring1][Branch2][O][C][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][O][O][=C][Ring2][Ring1][Ring1][O][C@H1][Ring2][Ring1][=Branch1][C@@H1][Branch1][C][O][C][=C][C@H1][Ring2][Ring1][O][C@H1][Ring2][Ring1][#C][C][Ring2][Ring1][O],-2.15
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,[C][N][C][C][C@][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][O][C@H1][Ring1][#Branch2][C@@H1][Branch2][Ring1][Branch2][O][C][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][O][O][C][=C][C@H1][Ring2][Ring1][O][C@H1][Ring2][Ring1][#C][C][Ring2][Ring1][O],-2.09
Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,[C][C][=C][C][=C][Branch2][Ring1][S][C][C][C][N][C][Branch2][Ring1][C][N][C][C][C][C][C][=N][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][N][C][Ring2][Ring1][Ring1][=O][C][=N][Ring2][Ring1][O],-1.88
CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,[C][N][C][C][=C][Branch2][Ring1][C][C][=N][O][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][O][O][=N][Ring1][=Branch2][N][=C][N][Ring1][=C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=O],-1.82
CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,[C][N][C][C][=C][Branch2][Ring1][Ring1][C][=N][O][C][Branch1][#Branch2][C@][Branch1][C][C][Branch1][C][O][C][O][=N][Ring1][#Branch2][N][=C][N][Ring1][#C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Ring2][Ring1][=Branch2][=O],-1.82
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,[O][C][C@H1][O][C@@][Branch1][Ring1][C][O][Branch2][Ring1][Branch1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Ring2][O],-1.7
C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,[C][=C][C][C][=C][C][=C][C][Branch2][Ring2][#Branch1][/C][=N][\N][C][=Branch1][C][=O][C][N][C][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][C][Ring1][P][=C][Ring2][Ring1][=N][O],-1.67
O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,[O][=C][Branch1][C][O][C][=N][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][N][=C][Ring1][=C][N][C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2],-1.57
NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,[N][C][Branch1][C][N][=N][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=C][S][Ring1][=N],-1.54
CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,[C][C][N][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][C][N][Branch2][Ring1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][O][NH1][Ring1][=C][C][C][Ring2][Ring1][=Branch1],-1.52
CN=C(NC#N)NCCSCC1=NC=NC1C,[C][N][=C][Branch1][Ring2][N][C][#N][N][C][C][S][C][C][=N][C][=N][C][Ring1][Branch1][C],-1.42
CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,[C][C][C][C][=N][C][Branch1][C][C][=C][C][=Branch1][C][=O][NH1][C][Branch2][Ring2][C][C][=C][C][Branch2][Ring1][Ring2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C][Ring1][Branch2][=C][C][=C][Ring1][P][O][C][C][=N][N][Ring2][Ring1][#C][Ring2][Ring1][O],-1.4
NCc1c[n+]2ccccc2[nH]1,[N][C][C][=C][N+1][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],-1.4
Nc1ccc(C(=O)O)cc1,[N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],-1.4
Cc1ccccc1N=C1N(C)CCN1C,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][N][Branch1][C][C][C][C][N][Ring1][=Branch1][C],-1.39
O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,[O][=C][Branch1][C][O][C][=C][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][NH1][Ring1][=N],-1.33
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,[C][C][C][C][=N][N][Branch1][C][C][C][C][=Branch1][C][=O][NH1][C][Branch2][Ring1][P][C][=C][C][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][S][O][C][C][=N][C][Ring2][Ring1][=C][=Ring2][Ring1][#Branch2],-1.3
Cc1ccc(N=C2N(C)CCN2C)c(C)c1,[C][C][=C][C][=C][Branch1][=N][N][=C][N][Branch1][C][C][C][C][N][Ring1][=Branch1][C][C][Branch1][C][C][=C][Ring1][#C],-1.3
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,[N][C][=N][C][Branch1][#C][N][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=N][C][=N][C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][=N][N][Ring2][Ring1][Branch2][Ring1][#Branch2],-1.3
O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,[O][=C][NH1][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][C][C][C@H1][Branch1][Ring1][C][O][O][Ring1][#Branch1],-1.3
CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,[C][N][/C][=Branch1][#Branch1][=C][/N+1][=Branch1][C][=O][O-1][N][C][C][S][C][=C][C][=C][Branch1][#Branch1][C][N][Branch1][C][C][C][O][Ring1][=Branch2],-1.23
CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,[C][N][=C][Branch1][#Branch1][C][N+1][=Branch1][C][=O][O-1][N][C][C][C][S][C][=C][C][=C][Branch1][#Branch1][C][N][Branch1][C][C][C][O][Ring1][=Branch2],-1.23
CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,[C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch2][Ring1][C][/C][=C][/C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1][O][C][Branch1][C][C][=O],-1.17
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,[C][C][=C][C][=C][Branch2][Ring1][=C][/C][=Branch1][#Branch2][=C][\C][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][C][Branch1][Branch2][/C][=C][/C][=Branch1][C][=O][O][=N][Ring1][O][C][=C][Ring2][Ring1][=Branch2],-1.14
