canonical_smiles,selfies,logCmax
NCCc1cnc[nH]1,[N][C][C][C][=C][N][=C][NH1][Ring1][Branch1],1.57978359661681
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C][Ring2][Ring1][C][=O],0.0128372247051722
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,[C][C][O][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][Branch1][C][C][C][C][Ring1][=N],3.1398790864012365
COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][C][=Branch1][C][=O][C][C][C@H1][C@@H1][Branch1][Ring2][C][Ring1][N][N][Branch1][C][C][C][C][C@][Ring1][S][Ring1][=N][Ring1][Branch2],1.8819549713396004
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C@@H1][Ring2][Ring1][C][O],-0.1940236492824373
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,[C][#C][C@][Branch1][C][O][C][C][C@H1][C@@H1][C][C][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@@][Ring1][#C][Ring2][Ring1][Ring1][C],2.62211036036122
CN(C)CCOC(c1ccccc1)c1ccccc1,[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2.3176455432211585
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,[C][C@H1][Branch2][Ring1][=C][C][C][=C][C][=C][Branch1][N][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][=Branch2][N][Branch1][Branch1][C][C][C][O][C][C][Ring1][=C][N][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][C][F][Branch1][C][F][F],2.0948203803548
CN(C)CCN(Cc1ccccc1)c1ccccn1,[C][N][Branch1][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],2.881213416255019
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,[C][N][C][C@H1][Branch2][Ring2][#C][C][=Branch1][C][=O][N][C@][Branch1][C][C][O][C@@][Branch1][C][O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][C][C][Ring2][Ring1][=Branch1][=O][C][C@@H1][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][Ring2][Ring2][#Branch2],0.8808135922807914
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,[C][C][N][Branch1][Ring1][C][C][C][C][C][C@@H1][Branch1][C][C][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1],2.710117365111816
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,[C][C][C@@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C@@H1][C][=C][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][N][Branch1][C][C][C][Ring1][P],0.9804578922761
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,[C][C@@H1][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][Cl][C@@H1][Branch1][C][O][C][C@][Ring2][Ring1][C][Branch1][C][C][C@@][Ring2][Ring1][=Branch1][Branch1][=N][O][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C][=Branch1][C][=O][C][Cl],-0.6599526823386068
Cc1ncc(CO)c(CO)c1O,[C][C][=N][C][=C][Branch1][Ring1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][#Branch2][O],2.2833012287035497
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,[C][C][=N][C][=C][Branch1][#C][C][N+1][=C][S][C][Branch1][Ring2][C][C][O][=C][Ring1][Branch2][C][C][Branch1][C][N][=N][Ring1][P],2.5854607295085006
